When,AO,QIC,PAX
12/28/2021,The Jag:60,Cricket,"Homegrown Berry, Rebar, Nighthawk, Chum, Brotox, Greenacres, Spam, Nacho Libre, Monte Christo, Catskillz, FNG SoHCaHToa"
12/28/2021,The Vortex:16,BumpDraft,"CountChocula, Uzi, Nightshift, Newt, Poser, BananaSkin, Assisi, RedOctober, LegallyBlonde, Malware, Potter"
12/29/2021,Farmboys:210,Goldenboy,"530 fast start w 5 and 2 comin in hot but these gentlePAX started off the day on the good foot at Farmboys - Jake from State Farm, Mueller, Stevie Ray, Kia, Singlet, Fingers, Golden Boy"
12/27/2021,Jolly Roger:201,Green Egg,"Sodapopinski, Kia, Roach, Chowdah"
12/27/2021,The Rock:51,BumpDraft,"Cortes, CountChocula, Uzi, Singlet, Banana Skin, Halfback, Dinghy, Milton, Nubbin"
12/24/2021,West End:61,Spelunker,"Zika, Mueller, Tricurious, Big Kat, Nightshift"
12/22/2021,The Jag:60,Funny Bone,18 PAX Total
12/23/2021,Tobacco Road:15,Mueller,"Bellhop, Bells, Cardiac, Kia, and Scapula"
12/20/2021,The Eagle:27,Swamp,"Grandpa ninja, Prancing Horse, Dry rub, Count Chocula, Scribble, Bells,,  Coach K."
12/22/2021,Hurricanrana:45,Spot,"Sodapopinski, Shake It, Chowdah, Fresh Prince, Iggy Peck"
12/22/2021,The King's Dominion:212,Reindeer Games,"Bellhop, Castaway, Count Chocula, Dry Rub, Fiddlestick, Lap Lane, My Little Pony, Prancing Horse, Swamp, and Yunus"
12/21/2021,The Rabbit:41,Paperboy,"Jinx, Nescafe, Vandelay, Dueling Banjos, Forbidden Fruit, Brexit, Cousin Vinney, Cricket, Palmolive, Pookie, RG3, Foley, Homes, Zika"
12/22/2021,The Vortex:16,Elf,"Poser, Food Lion, MLP, Red October, Malware, Potter, Legally Blonde, The Lawn, Milton, Newt, Loonie"
12/21/2021,The Piranha:113,Max Power,"Bellhop, Boucher, Cardiac, Cosmo, Count Chocula, Fiddlestick, Floyd, Geppetto, Kia, Knope, Pallino, Scapula, Swamp, WeedNFeed, WreckItRalph"
12/20/2021,Jolly Roger:201,Chowdah,"ShakeIt, Fresh Prince, King LL, Happy Trees, Spot, Texas Instruments"
12/15/2021,Rameses:12,Big Kat,"Flapjack, Lightweight, Prancing Horse, Boucher and 4 other amazing PAX"
12/18/2021,The Battering Ram:29,Shark Tank,"Uzi, Wawa, Catskill, Malware, Potter, Quint, Elwood, Flapjack, Green Acres, Montecristo, Vice, TB, Bunsen Burner, Messi, Splashback, Spam, (and sorry for forgetting a couple)"
12/18/2021,Thin Blue Line:17,Adolphus,"Big Kat, Cheese Splint, Cool J, Kia, Newt, Right Swipe, Peppermint Patty, Scrooge McDuck, Swish, Timberlake"
12/15/2021,House of Pain:22,Soybean,"Botched, Crab Cake, Grandpa Ninja, Llama Llama, Sweatervest, Yunus"
12/17/2021,West End:61,Elwood,"Mueller, nightshift, flapjack, yo-yo, golden boy, spam, Catskills, tri-curious, slug, big cat, boiler room, spelunker, right swipe"
12/17/2021,West End:61,Elwood,"Right Swipe, Mueller, Nightshift, Slug, Big Kat, YoYo, Boiler Room(FNG), Tricurious, Spam, Catskill, Spelunker, Goldenboy"
12/16/2021,Animal House:26,test6,"bush, clinto, obama, trump"
12/16/2021,Animal House:26,test5,"larry, curly, moe"
12/15/2021,Rameses:12,Big Kat,"Big Kat, Boucher, Wile E, Flapjack, Prancing Horse, Lightweight, Nightshift, Dry Rub, Vandelay"
12/15/2021,Rameses:12,Big Kat,"Nightshift, Boucher, Wile E, Flapjack, Prancing Horse, Lightweight,"
12/15/2021,The Earl:59,Montecristo,"yanni, quint"
12/16/2021,The Big House:38,Chum,"Brotox, Paper Jam, Nitro, Dueling Banjos, Zook, Rambler, Turkey Jerky"
12/15/2021,The King's Dominion:212,Cosmo,"Castaway, Knope, Cherry Baked, Yurt, Lap Lane, Max Power, Fiddlestick, Awesome Baby, Uzi, Red Tape, Crash Cart, Count Chocula, Swamp"
12/14/2021,Owl Theory:229,Coxswain,"Bells, Porterhouse, Sprinkles, Vegan Tortilla"
12/13/2021,Eagle:146,Loonie,"Wreck It Ralph, Grandpa Ninja, LapLane, RedTape, Sonar, Botched, Cosmo, Prancing Horse, Swamp, Crash Cart, Max Power, Cherry Baked, Count Chocula, Dry Rub, Banana Slug, Coach K, Loonie"
12/14/2021,The Rabbit:41,Zika,"Beaujolias, Forbidden Fruit, Cricket, Smoky bear, Brexit, Zika, Paperboy"
